房屋编号,城市,区,方位,房屋名,大小,租赁方式,朝向,月租,计费方式,几室,几厅,几卫,入住,租期,看房,所在楼层,总楼层,电梯,车位,用水,用电,燃气,供暖
TJ2299315834469744640,天津,南开,王顶堤,林苑北里,59㎡,合租,南,1000元/月,NULL,1室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2252103209998876672,天津,南开,王顶堤,林苑西里,25㎡,整租,北,1100元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ1948243242395115520,天津,武清,黄庄,金泰丽舍,85㎡,整租,南,500元/月,季付价,2室,2厅,2卫,随时入住,2年以内,需提前预约,中楼层,27层,有,NULL,民水,民电,有,集中供暖
TJ2246452542056185856,天津,宝坻,宝坻,塞纳世家,92㎡,整租,南/北,900元/月,NULL,2室,2厅,1卫,随时入住,NULL,需提前预约,高楼层,26层,有,NULL,民水,民电,有,集中供暖
TJ2313526909935828992,天津,河西,陈塘庄,金海湾花园,13㎡,合租,南,1361元/月,月付价,3室,1厅,1卫,随时入住,6个月以上,随时可看,4,6层,无,NULL,民水,民电,有,集中供暖
TJ2240486060788285440,天津,滨海新区,大港,重阳里,76㎡,整租,南/北,1000元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,未知,6层,无,NULL,民水,民电,有,集中供暖
TJ2313718365719904256,天津,西青,张家窝,保利罗兰公馆,10㎡,合租,北,930元/月,季付价,4室,1厅,1卫,随时入住,1年,随时可看,3,7层,有,租用车位,民水,民电,有,NULL
TJ2298335660673089536,天津,和平,南市,怀远里,32㎡,整租,南,2100元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2304788341423882240,天津,南开,嘉陵道街,云阳东里,39㎡,整租,南,1200元/月,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2240303295879462912,天津,河西,桃园街,静安里(河西区),34㎡,整租,南,1500元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2302725712421068800,天津,河西,下瓦房,东舍宅,35㎡,整租,西,1500元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,低楼层,8层,无,NULL,民水,民电,有,集中供暖
TJ2150722182492463104,天津,和平,体育馆街,万科世贸广场,38㎡,整租,南,1600元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,24层,有,NULL,商水,商电,无,集中供暖
TJ2313719470549909504,天津,西青,张家窝,保利罗兰公馆,7㎡,合租,北,860元/月,季付价,4室,1厅,1卫,随时入住,1年,随时可看,3,7层,有,租用车位,民水,民电,有,NULL
TJ2267352462938095616,天津,滨海新区,汉沽,秦台里,71㎡,整租,南/北,800元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,未知,4层,无,NULL,民水,民电,有,集中供暖
TJ2313140636851126272,天津,西青,张家窝,保利罗兰公馆,8㎡,合租,北,790元/月,季付价,5室,1厅,2卫,随时入住,1年,随时可看,5,5层,NULL,租用车位,NULL,NULL,NULL,NULL
TJ2302103668608212992,天津,海河教育园区,咸水沽,融创中央学府,86㎡,整租,南,1200元/月,NULL,2室,1厅,1卫,随时入住,NULL,一般下班后可看,低楼层,18层,有,NULL,民水,民电,有,集中供暖
TJ2313516903928168448,天津,南开,王顶堤,江坪园,15㎡,合租,南,1000元/月,月付价,4室,1厅,1卫,随时入住,2~10个月,随时可看,19,28层,有,免费使用,民水,民电,有,集中供暖
TJ2286896798549417984,天津,宝坻,宝坻,圣缇湾,79㎡,整租,南/北,1400元/月,半年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,21层,有,NULL,民水,民电,有,集中供暖
TJ2287651179590852608,天津,塘沽,解放路,民和里,43㎡,整租,南,1500元/月,NULL,1室,1厅,1卫,随时入住,NULL,一般下班后可看,高楼层,6层,无,NULL,NULL,NULL,有,集中供暖
TJ2260054012881805312,天津,滨海新区,大港,建安里,59㎡,整租,南,1000元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2106354584346689536,天津,武清,杨村,广厦中里东区,65㎡,整租,南,1000元/月,NULL,2室,2厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2267114688792248320,天津,河西,天塔街,津淄东里,30㎡,整租,东/北,2000元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2312031677611769856,天津,河北,宁园,舒园里,18㎡,合租,北,850元/月,季付价,5室,1厅,1卫,随时入住,8个月,随时可看,6,7层,无,NULL,民水,民电,有,NULL
TJ2298371018571382784,天津,河东,真理道,东瑞家园,47㎡,整租,南,1200元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,30层,有,NULL,民水,民电,有,集中供暖
TJ2312065942819184640,天津,南开,万兴街,金潭花园,12㎡,合租,南,900元/月,月付价,4室,1厅,1卫,随时入住,5个月,随时可看,5,6层,无,免费使用,民水,民电,有,集中供暖
TJ2286215856944332800,天津,和平,劝业场,山西路,16㎡,整租,东南,1000元/月,NULL,1室,NULL,NULL,随时入住,NULL,需提前预约,高楼层,2层,无,NULL,民水,民电,有,集中供暖
TJ2313544368340353024,天津,南开,广开街,广云花园,17㎡,合租,东南,1300元/月,月付价,3室,1厅,1卫,随时入住,1年,随时可看,3,6层,无,租用车位,民水,民电,有,集中供暖
TJ2140267536527400960,天津,河西,大营门,重建里,60㎡,整租,南,1300元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,5层,无,NULL,民水,民电,有,集中供暖
TJ2313668428143271936,天津,南开,嘉陵道街,南江东里,18㎡,合租,南,1000元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,4,5层,无,免费使用,民水,民电,有,集中供暖
TJ2281859948046721024,天津,河北,靖江路,廉江里,32㎡,整租,南,1200元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2313607991804297216,天津,河西,梅江,瑞江花园梅苑,12㎡,合租,北,1360元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,5,6层,NULL,NULL,NULL,NULL,NULL,NULL
TJ2212939914658717696,天津,河西,越秀路,健强里,38㎡,整租,南,1500元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2313607872082354176,天津,河西,梅江,瑞江花园梅苑,14㎡,合租,南,1430元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,2,6层,NULL,NULL,NULL,NULL,NULL,NULL
TJ2238119581162422272,天津,宝坻,宝坻,领秀新天地,44㎡,整租,东南/南,750元/月,年付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,6层,无,NULL,商水,商电,无,集中供暖
TJ2177341932378783744,天津,和平,南营门街,天新里,35㎡,整租,南,1700元/月,双月付价,1室,NULL,1卫,随时入住,NULL,需提前预约,高楼层,7层,无,NULL,民水,民电,有,集中供暖
TJ2291877406816083968,天津,武清,武清其它,经纬城市绿洲学知华庭,71㎡,整租,南,900元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,28层,有,NULL,民水,民电,有,集中供暖
TJ2281660323679174656,天津,南开,兴南街,红和里,24㎡,整租,西,1200元/月,NULL,1室,NULL,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2313607991804297216,天津,河西,梅江,瑞江花园梅苑,12㎡,合租,北,1360元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,5,6层,NULL,NULL,NULL,NULL,NULL,NULL
TJ2313660579837394944,天津,河西,梅江,瑞江花园梅苑,11㎡,合租,北,1330元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,2,6层,NULL,NULL,NULL,NULL,NULL,NULL
TJ2313095056368091136,天津,南开,华苑,莹华里,9㎡,合租,南,1290元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,1,6层,NULL,NULL,NULL,NULL,NULL,NULL
TJ2307090078595555328,天津,和平,南营门街,天新里,35㎡,整租,南,1900元/月,NULL,1室,NULL,1卫,随时入住,NULL,需提前预约,高楼层,7层,无,NULL,民水,民电,有,集中供暖
TJ2284556338262441984,天津,和平,南市,同庆后,26㎡,整租,北,1000元/月,NULL,1室,NULL,NULL,随时入住,NULL,需提前预约,高楼层,7层,无,NULL,民水,民电,有,集中供暖
TJ2296323930220134400,天津,塘沽,杭州道,文安里,41㎡,整租,南,1100元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,4层,无,NULL,民水,民电,有,集中供暖
TJ2294171273259401216,天津,武清,中信广场,运泽花园小区中区,130㎡,整租,南,1000元/月,NULL,3室,1厅,1卫,随时入住,NULL,需提前预约,低楼层,16层,无,NULL,NULL,NULL,有,集中供暖
TJ2313534560715423744,天津,南开,华苑,莹华里,8㎡,合租,东,1260元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,1,6层,NULL,NULL,NULL,NULL,NULL,NULL
TJ2313737991656849408,天津,南开,华苑,莹华里,15㎡,合租,南,1050元/月,月付价,3室,1厅,1卫,随时入住,1年,随时可看,4,6层,无,NULL,民水,民电,有,集中供暖
TJ2313059570643378176,天津,南开,华苑,莹华里,7㎡,合租,北,1290元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,5,6层,NULL,NULL,NULL,NULL,NULL,NULL
TJ2305600926293172224,天津,塘沽,杭州道,吉林里,54㎡,整租,南/北,1400元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,4层,无,NULL,民水,民电,有,集中供暖
TJ2277415907729088512,天津,塘沽,解放路,岳阳里(塘沽区),56㎡,整租,南/北,1400元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,7层,有,NULL,民水,民电,有,集中供暖
TJ2308528162293948416,天津,南开,万兴街,天大北五村,15㎡,整租,北,1200元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2301918702083784704,天津,河西,友谊路,恒盛SOHO,26㎡,整租,南,1500元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,7层,有,NULL,民水,民电,有,集中供暖
TJ2313813513950470144,天津,南开,华苑,莹华里,9㎡,合租,北,1230元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,5,6层,无,NULL,民水,民电,有,NULL
TJ2313689492231831552,天津,南开,华苑,莹华里,8㎡,合租,西,1290元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,5,6层,NULL,NULL,NULL,NULL,NULL,NULL
TJ2313738672660824064,天津,南开,华苑,莹华里,12㎡,合租,南,1000元/月,月付价,3室,1厅,1卫,随时入住,1年,随时可看,4,6层,无,NULL,民水,民电,有,集中供暖
TJ2290438752667451392,天津,河西,友谊路,芳竹花园,46㎡,整租,南,1500元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,7层,无,NULL,民水,民电,有,集中供暖
TJ2296167791298093056,天津,和平,劝业场,和平路（劝业场）,16㎡,整租,东,1500元/月,NULL,1室,NULL,1卫,随时入住,NULL,需提前预约,高楼层,3层,无,NULL,NULL,NULL,NULL,NULL
TJ2133984444791390208,天津,津南,咸水沽,惠安花园,117㎡,整租,南/北,1000元/月,季付价,3室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,32层,无,NULL,民水,民电,有,集中供暖
TJ2120870615207649280,天津,河西,马场街,向荣里,36㎡,整租,西,1100元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,8层,无,NULL,民水,民电,有,集中供暖
TJ2313527732707008512,天津,河东,上杭路,尚东馨园,9㎡,合租,东,1230元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,9,30层,NULL,NULL,NULL,NULL,NULL,NULL
TJ2310574288832569344,天津,河东,大直沽,大直沽三号路,15㎡,合租,南,1150元/月,月付价,2室,1厅,1卫,随时入住,2~10个月,随时可看,5,6层,无,免费使用,民水,民电,有,集中供暖
TJ1815068349340852224,天津,河西,马场街,先进里,34㎡,整租,南,1500元/月,季付价,2室,NULL,1卫,随时入住,2年以内,需提前预约,高楼层,5层,无,NULL,民水,民电,有,集中供暖
TJ2147021598555635712,天津,红桥,咸阳北路,同心楼,36㎡,整租,南,1100元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2302876710510526464,天津,河西,陈塘庄,微山里,50㎡,整租,南,1300元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2270730103317340160,天津,和平,南营门街,银行里,46㎡,整租,东南,2100元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2313656382320017408,天津,南开,广开街,天江格调花园,23㎡,合租,南,1160元/月,月付价,4室,1厅,1卫,随时入住,1~2年,随时可看,3,12层,有,NULL,民水,民电,有,集中供暖
TJ2278187585014865920,天津,河东,万新村,冠云中里,13㎡,整租,北,800元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,7层,无,NULL,民水,民电,有,集中供暖
TJ2313513953193902080,天津,东丽,万新街,润景家园,8㎡,合租,南,1090元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,16,18层,NULL,租用车位,NULL,NULL,NULL,NULL
TJ2233164853990924288,天津,开发区,第一大街,振业铂雅轩,90㎡,整租,南,2000元/月,NULL,3室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,30层,无,NULL,NULL,NULL,NULL,NULL
TJ2286643484070772736,天津,河西,桃园街,信德里,38㎡,整租,南/北,900元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,4层,无,NULL,民水,民电,有,集中供暖
TJ2231029439653740544,天津,海河教育园区,咸水沽,龙湖天宸原著,92㎡,整租,南,1000元/月,NULL,3室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,8层,无,NULL,NULL,NULL,有,集中供暖
TJ2264362578874736640,天津,塘沽,向阳街,延安里,60㎡,整租,南/北,1200元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2163167459169796096,天津,滨海新区,大港,地球村,114㎡,整租,南/北,1000元/月,NULL,3室,1厅,1卫,暂无数据,NULL,NULL,中楼层,16层,有,NULL,民水,民电,有,集中供暖
TJ2313606682149650432,天津,河西,尖山,玫瑰花园,8㎡,合租,东,1090元/月,季付价,3室,1厅,2卫,随时入住,1年,随时可看,7,18层,NULL,NULL,NULL,NULL,NULL,NULL
TJ2233268780882984960,天津,津南,八里台,融创星耀五洲,77㎡,整租,南,600元/月,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,高楼层,30层,无,NULL,民水,民电,有,集中供暖
TJ2313636394331291648,天津,河西,尖山,名都新园,11㎡,合租,北,1290元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,6,6层,NULL,NULL,NULL,NULL,NULL,NULL
TJ2297609873736597504,天津,津南,咸水沽,富力又一城,120㎡,整租,南/北,800元/月,NULL,3室,2厅,1卫,随时入住,NULL,需提前预约,低楼层,33层,有,NULL,民水,民电,有,集中供暖
TJ2313622331811446784,天津,河西,尖山,名都新园,15㎡,合租,南,1330元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,6,6层,NULL,NULL,NULL,NULL,NULL,NULL
TJ2273042188214738944,天津,塘沽,杭州道,毓园,69㎡,整租,南/北,1400元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2298457808762847232,天津,河北,靖江路,怒江里,19㎡,整租,南,1000元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,5层,无,NULL,民水,民电,有,集中供暖
TJ2237394248955863040,天津,河西,友谊路,西园西里,28㎡,整租,南,1500元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2312809495350214656,天津,塘沽,北塘街,欣昌苑,85㎡,整租,南/北,1450元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,11层,无,NULL,NULL,NULL,NULL,NULL
TJ2311471046060425216,天津,开发区,开发区,清谷,90㎡,整租,南,2300元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,低楼层,17层,有,NULL,民水,民电,有,集中供暖
TJ2313622541266059264,天津,河西,尖山,名都新园,18㎡,合租,北,1390元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,6,6层,NULL,NULL,NULL,NULL,NULL,NULL
TJ2296760647075241984,天津,塘沽,胡家园,香颂园（远洋城1期）,67㎡,整租,东,1500元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,30层,有,NULL,民水,民电,有,集中供暖
TJ2311341402027999232,天津,河东,常州道,爱营里,12㎡,合租,南,950元/月,月付价,4室,1厅,1卫,随时入住,1年,随时可看,6,6层,无,免费使用,民水,民电,有,集中供暖
TJ2169488215705395200,天津,河西,天塔街,司法警校宿舍,39㎡,整租,南,1400元/月,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,中楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2313523906629074944,天津,南开,向阳路,乐园里,13㎡,合租,东南,700元/月,月付价,4室,1厅,1卫,随时入住,1~12个月,随时可看,6,6层,无,NULL,民水,民电,有,NULL
TJ2264256589416906752,天津,南开,广开街,凤玉里,40㎡,整租,南/北,1300元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,7层,无,NULL,民水,民电,有,集中供暖
TJ2313670788152303616,天津,南开,向阳路,乐园里,15㎡,合租,南,700元/月,月付价,4室,1厅,1卫,随时入住,1~12个月,随时可看,5,6层,无,免费使用,民水,民电,有,集中供暖
TJ2277382129404870656,天津,和平,体育馆街,友好里,42㎡,整租,南,1500元/月,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,中楼层,3层,无,NULL,民水,民电,有,集中供暖
TJ2313670786449686528,天津,南开,向阳路,乐园里,15㎡,合租,南,800元/月,月付价,4室,1厅,1卫,随时入住,1~12个月,随时可看,5,6层,无,免费使用,民水,民电,有,集中供暖
TJ2291992535360610304,天津,和平,新兴街,兴河里,30㎡,整租,西北,1700元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2313391846040551424,天津,河东,二号桥街,明家庄园,15㎡,合租,南,1230元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,4,5层,NULL,租用车位,NULL,NULL,NULL,NULL
TJ2313373850404405248,天津,河东,二号桥街,明家庄园,10㎡,合租,南,1160元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,5,5层,NULL,租用车位,NULL,NULL,NULL,NULL
TJ2287482761155444736,天津,南开,体育中心街,凌洪里,36㎡,整租,东,1200元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,7层,无,NULL,NULL,NULL,有,集中供暖
TJ2273154114500706304,天津,滨海新区,大港,重阳里,39㎡,整租,东/西,800元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2281168874261463040,天津,河西,大营门,积庆里,15㎡,整租,东,1200元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,低楼层,5层,无,NULL,民水,民电,有,集中供暖
TJ2313819063979622400,天津,河西,梅江,瑞江花园菊苑,13㎡,合租,北,1260元/月,季付价,4室,1厅,2卫,随时入住,1年,随时可看,5,6层,无,NULL,民水,民电,有,NULL
TJ2309903049751003136,天津,河东,春华街,汇和家园,15㎡,合租,南,850元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,7,7层,无,免费使用,民水,民电,有,集中供暖
TJ2222267009998266368,天津,南开,向阳路,芥园里,31㎡,整租,南,1200元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2292462279398268928,天津,红桥,西营门,和苑家园营和园,53㎡,整租,南,1100元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,24层,有,NULL,民水,民电,有,集中供暖
TJ2294821017077686272,天津,滨海新区,大港,港明里,79㎡,整租,南,1000元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2313573158772277248,天津,河东,春华街,万春花园,17㎡,合租,南,1200元/月,月付价,4室,1厅,1卫,随时入住,1年,随时可看,4,11层,有,租用车位,民水,民电,有,集中供暖
TJ2313427319148527616,天津,西青,张家窝,君悦花苑,12㎡,合租,南,960元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,10,11层,NULL,租用车位,NULL,NULL,NULL,NULL
TJ2297873949742342144,天津,东丽,张贵庄,津门里,39㎡,整租,南,1100元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2287017621902082048,天津,塘沽,向阳街,延安里,40㎡,整租,南,1400元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2283843739787206656,天津,河西,下瓦房,西楼北里,24㎡,整租,南,1500元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,8层,无,NULL,民水,民电,有,集中供暖
TJ2313257690471866368,天津,西青,张家窝,君悦花苑,6㎡,合租,北,790元/月,季付价,4室,1厅,1卫,随时入住,1年,随时可看,5,6层,NULL,租用车位,NULL,NULL,NULL,NULL
TJ2313727112596422656,天津,西青,张家窝,君悦花苑,12㎡,合租,北,960元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,6,6层,无,租用车位,民水,民电,有,NULL
TJ2252080515752935424,天津,宝坻,宝坻,宝平景苑西区,80㎡,整租,南/北,1400元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,7层,无,NULL,民水,民电,有,集中供暖
TJ2248316142542667776,天津,西青,张家窝,社会山南苑,93㎡,合租,南,1000元/月,NULL,3室,2厅,1卫,随时入住,NULL,需提前预约,低楼层,18层,有,NULL,民水,民电,有,集中供暖
TJ2253349898076561408,天津,武清,静湖,嘉平8090,85㎡,整租,南,600元/月,NULL,2室,2厅,1卫,随时入住,NULL,需提前预约,中楼层,16层,有,NULL,民水,民电,有,集中供暖
TJ2309210932154744832,天津,红桥,铃铛阁,晓春里,15㎡,合租,南,900元/月,月付价,4室,1厅,1卫,随时入住,2~10个月,随时可看,5,6层,无,免费使用,民水,民电,有,集中供暖
TJ2313516309427789824,天津,河东,太阳城,紫玉园,13㎡,合租,南,1000元/月,月付价,5室,1厅,1卫,随时入住,1年,随时可看,6,6层,无,免费使用,民水,民电,有,集中供暖
TJ2227943253833940992,天津,滨海新区,大港,福居园,85㎡,整租,南/北,600元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,7层,有,NULL,民水,民电,有,集中供暖
TJ2217267285469970432,天津,和平,南市,裕德里,20㎡,整租,南,1000元/月,季付价,1室,NULL,NULL,随时入住,2年以内,需提前预约,高楼层,8层,无,NULL,民水,民电,有,集中供暖
TJ2278302054608797696,天津,河东,大直沽,文华里,18㎡,整租,东南,1100元/月,季付价,1室,1厅,NULL,随时入住,1年以内,需提前预约,高楼层,4层,无,NULL,民水,民电,有,集中供暖
TJ2313355659909013504,天津,河东,太阳城,紫玉园,9㎡,合租,北,1190元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,3,6层,NULL,租用车位,NULL,NULL,NULL,NULL
TJ2313638780872949760,天津,河西,梅江,华夏津典畅水园,10㎡,合租,北,1290元/月,季付价,4室,1厅,2卫,随时入住,1年,随时可看,17,24层,NULL,NULL,NULL,NULL,NULL,NULL
TJ2298580338760491008,天津,武清,体育中心,盛世睿园,93㎡,整租,南/北,600元/月,NULL,2室,1厅,1卫,随时入住,NULL,一般下班后可看,低楼层,27层,有,NULL,民水,民电,有,集中供暖
TJ2211369905218134016,天津,和平,南市,城建里,25㎡,整租,东,1800元/月,季付价,1室,NULL,1卫,随时入住,1年以内,需提前预约,中楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2283939182432747520,天津,河西,陈塘庄,复兴门北里,20㎡,整租,北,800元/月,NULL,1室,NULL,NULL,随时入住,NULL,需提前预约,高楼层,5层,无,NULL,民水,民电,有,集中供暖
TJ2280886274137268224,天津,武清,杨村,和平里小区南区,84㎡,整租,南/北,1000元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,7层,无,NULL,民水,民电,有,集中供暖
TJ2299315829781053440,天津,河东,上杭路,程林里,35㎡,整租,西,1200元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2313805064080195584,天津,西青,张家窝,保利金融街诺丁山,12㎡,合租,南,960元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,2,18层,有,NULL,民水,民电,有,NULL
TJ2294103642607206400,天津,东丽,军粮城,端月里,70㎡,整租,南/北,1000元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2313252986065272832,天津,西青,张家窝,保利金融街诺丁山,12㎡,合租,南,1030元/月,季付价,4室,1厅,2卫,随时入住,1年,随时可看,5,24层,NULL,NULL,NULL,NULL,NULL,NULL
TJ2120991081893478400,天津,武清,南湖,云湖庭苑,88㎡,整租,南/北,800元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,7层,无,NULL,民水,民电,有,集中供暖
TJ2293186289736368128,天津,武清,下朱庄,龙吉园,101㎡,整租,南/北,500元/月,NULL,3室,2厅,1卫,随时入住,2年以内,需提前预约,中楼层,18层,有,NULL,民水,民电,有,集中供暖
TJ2297789286265143296,天津,河东,春华街,华光里,43㎡,整租,东,1200元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,7层,无,NULL,民水,民电,有,集中供暖
TJ2312963550114750464,天津,河北,江都路,屹东里,18㎡,整租,西南,900元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,5层,无,NULL,NULL,民电,有,集中供暖
TJ2312149435028602880,天津,开发区,第二大街,東壹区,111㎡,整租,南/北,2000元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,18层,有,NULL,民水,民电,有,集中供暖
TJ2313283535169134592,天津,西青,张家窝,保利金融街诺丁山,8㎡,合租,南,860元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,3,18层,NULL,NULL,NULL,NULL,NULL,NULL
TJ2298417804547989504,天津,河西,陈塘庄,黄海里,36㎡,整租,东/北,1500元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2313820179747831808,天津,西青,张家窝,保利金融街诺丁山,7㎡,合租,南,790元/月,季付价,4室,1厅,2卫,随时入住,1年,随时可看,5,8层,有,NULL,民水,民电,有,NULL
TJ2256427982447460352,天津,河西,柳林街,秀峰里,27㎡,整租,南,700元/月,NULL,1室,NULL,NULL,随时入住,NULL,需提前预约,中楼层,6层,无,NULL,民水,民电,有,集中供暖
